,units,batch_size,learning_rate,minimum_mae_error
0,7,16,0.008,12.789749145507812
1,7,16,0.01,13.004602432250977
2,7,32,0.008,13.670699119567871
3,7,32,0.01,13.124236106872559
4,7,64,0.008,13.30817699432373
5,7,64,0.01,13.10651969909668
6,8,16,0.008,13.040756225585938
7,8,16,0.01,13.137068748474121
8,8,32,0.008,13.391715049743652
9,8,32,0.01,12.994551658630371
10,8,64,0.008,13.216073036193848
11,8,64,0.01,13.345441818237305
12,9,16,0.008,12.956293106079102
13,9,16,0.01,12.851279258728027
14,9,32,0.008,13.23153305053711
15,9,32,0.01,13.481406211853027
16,9,64,0.008,13.448567390441895
17,9,64,0.01,13.466354370117188
