,units,batch_size,learning_rate,minimum_mae_error
0,7,16,0.008,12.42015266418457
1,7,16,0.01,12.075057983398438
2,7,32,0.008,12.126395225524902
3,7,32,0.01,12.158141136169434
4,7,64,0.008,12.460332870483398
5,7,64,0.01,12.234939575195312
6,8,16,0.008,12.233163833618164
7,8,16,0.01,12.1934232711792
8,8,32,0.008,12.091106414794922
9,8,32,0.01,12.147260665893555
10,8,64,0.008,12.329595565795898
11,8,64,0.01,12.227169036865234
12,9,16,0.008,12.119040489196777
13,9,16,0.01,12.185084342956543
14,9,32,0.008,12.444204330444336
15,9,32,0.01,12.192594528198242
16,9,64,0.008,12.332165718078613
17,9,64,0.01,12.175993919372559
